,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
99,100,0,0,TEX,0,2016-04-04,1,69,0.0,4,28,6,34,15,0,1.5,1,1,0,0,1,2016-04-04,0.0
101,23,1,0,TEX,0,2016-04-04,3,69,0.25,4,36,12,34,15,1,1.5,1,1,1,1,0,2016-04-04,0.25
102,429,0,0,TEX,0,2016-04-04,4,69,0.0,4,41,21,34,15,0,1.5,1,1,0,0,1,2016-04-04,0.0
103,9,1,0,TEX,0,2016-04-04,5,69,0.0,4,35,11,34,15,0,1.5,1,1,1,0,1,2016-04-04,0.0
104,519,0,0,TEX,0,2016-04-04,6,69,0.0,4,35,11,34,15,0,1.5,1,1,0,0,1,2016-04-04,0.0
105,718,1,0,TEX,0,2016-04-04,7,69,0.0,4,26,7,34,15,0,1.5,1,1,1,0,1,2016-04-04,0.0
106,201,0,0,TEX,0,2016-04-04,8,69,0.0,3,32,12,34,15,0,1.5,1,1,0,0,1,2016-04-04,0.0
107,227,0,0,TEX,0,2016-04-04,9,69,0.0,3,36,9,34,15,0,1.5,1,1,0,0,1,2016-04-04,0.0
108,360,3,0,CIN,1,2016-04-04,1,42,0.5,4,30,8,30,6,2,3.0,0,0,1,1,0,2016-04-04,0.5
109,515,1,0,CIN,1,2016-04-04,2,42,0.0,4,29,5,30,6,0,3.0,0,0,1,0,1,2016-04-04,0.0
110,469,0,0,CIN,1,2016-04-04,3,42,0.25,4,28,7,30,6,1,3.0,0,0,0,1,0,2016-04-04,0.25
111,47,1,0,CIN,1,2016-04-04,4,42,0.0,3,41,13,30,6,0,3.0,0,0,1,0,1,2016-04-04,0.0
112,827,0,0,CIN,1,2016-04-04,5,42,0.25,4,41,12,30,6,1,3.0,0,0,0,1,0,2016-04-04,0.25
113,714,1,0,CIN,1,2016-04-04,6,42,0.0,4,32,2,30,6,0,3.0,0,0,1,0,1,2016-04-04,0.0
114,137,0,0,CIN,1,2016-04-04,7,42,0.0,4,33,10,30,6,0,3.0,0,0,0,0,1,2016-04-04,0.0
115,155,3,0,CIN,1,2016-04-04,8,42,0.333,3,31,9,30,6,1,3.0,0,0,1,1,0,2016-04-04,0.3333333333333333
116,156,0,0,CIN,1,2016-04-04,9,42,0.5,2,33,10,30,6,1,3.0,0,0,0,1,0,2016-04-04,0.5
117,374,0,0,CIN,0,2016-04-04,1,216,1.0,4,35,9,33,10,3,0.0,0,0,0,1,0,2016-04-04,0.75
118,462,0,0,CIN,0,2016-04-04,2,216,0.0,4,29,7,33,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
119,601,1,0,CIN,0,2016-04-04,3,216,0.25,4,37,14,33,10,1,0.0,0,0,1,1,0,2016-04-04,0.25
120,163,0,0,CIN,0,2016-04-04,4,216,0.0,4,39,17,33,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
121,302,1,0,CIN,0,2016-04-04,5,216,0.25,4,33,13,33,10,1,0.0,0,0,1,1,0,2016-04-04,0.25
122,559,0,0,CIN,0,2016-04-04,6,216,0.0,4,32,8,33,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
123,54,0,0,CIN,0,2016-04-04,7,216,0.0,3,32,7,33,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
124,119,0,0,CIN,0,2016-04-04,8,216,0.0,2,30,6,33,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
125,541,3,0,CIN,0,2016-04-04,9,216,0.0,3,30,8,33,10,0,0.0,0,0,1,0,1,2016-04-04,0.0
126,569,1,0,ATL,1,2016-04-04,1,281,0.0,2,32,8,29,10,0,3.0,0,0,1,0,1,2016-04-04,0.0
127,96,0,0,ATL,1,2016-04-04,2,281,0.2,5,30,8,29,10,1,3.0,0,0,0,1,0,2016-04-04,0.2
128,350,1,0,ATL,1,2016-04-04,3,281,0.333,5,28,9,29,10,1,3.0,0,0,1,1,0,2016-04-04,0.2
129,652,0,0,ATL,1,2016-04-04,4,281,0.2,5,36,15,29,10,1,3.0,0,0,0,1,0,2016-04-04,0.2
